zoning_code,district_family,residential_allowed_flag,commercial_allowed_flag,manufacturing_allowed_flag,contextual_flag,height_factor_flag,residential_equivalent_code,approx_resid_far,standard_resid_far_min,standard_resid_far_max,mih_resid_far,community_facility_far,commercial_far,manufacturing_far,source_url,source_note
C6-2,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R8,6.02,0.94,6.02,,6.50,6.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C6-2A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R8A,6.02,6.02,6.02,,6.50,6.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-3,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R9,7.52,0.99,7.52,,10.00,6.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; parser uses upper end of residential equivalent range.
C6-3A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R9A,7.52,7.52,7.52,,7.50,6.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-3D,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R9D,9.00,9.00,9.00,,9.00,9.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-3X,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R9X,9.00,9.00,9.00,,9.00,6.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-4,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-4A,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R10A,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-4X,commercial,TRUE,TRUE,FALSE,TRUE,FALSE,R10X,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-5,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-6,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,15.00,15.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-7,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,15.00,15.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-8,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,10.00,10.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C6-9,commercial,TRUE,TRUE,FALSE,FALSE,FALSE,R10,10.00,10.00,10.00,,15.00,15.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table.
C7,commercial,FALSE,TRUE,FALSE,FALSE,FALSE,,0.00,,,,,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; no ordinary residential FAR.
C8-1,commercial,FALSE,TRUE,FALSE,FALSE,FALSE,,0.00,,,,2.40,1.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; no residential FAR.
C8-2,commercial,FALSE,TRUE,FALSE,FALSE,FALSE,,0.00,,,,4.80,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; no residential FAR.
C8-3,commercial,FALSE,TRUE,FALSE,FALSE,FALSE,,0.00,,,,6.50,2.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; no residential FAR.
C8-4,commercial,FALSE,TRUE,FALSE,FALSE,FALSE,,0.00,,,,6.50,5.00,,https://www.nyc.gov/assets/planning/downloads/pdf/our-work/plans/citywide/zoning-for-quality-and-affordability/zoning_data_tables_commercial_districts.pdf,DCP Commercial Districts zoning data table; no residential FAR.
M1-1,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,1.00,1.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no ordinary residential FAR.
M1-2,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,2.00,2.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no ordinary residential FAR.
M1-3,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,5.00,5.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no ordinary residential FAR.
M1-4,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,2.00,2.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no ordinary residential FAR.
M1-5,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,5.00,5.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no ordinary residential FAR.
M1-5M,manufacturing,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,5.00,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/manufacturing-districts,M1-5M permits some residential conversion with industrial/commercial preservation; do not use as ordinary residential FAR without case review.
M1-6,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,10.00,10.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no ordinary residential FAR.
M1-6M,manufacturing,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,10.00,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/manufacturing-districts,M1-6M permits some residential conversion with industrial/commercial preservation; do not use as ordinary residential FAR without case review.
M1-6D,manufacturing,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,10.00,https://www.nyc.gov/content/planning/pages/zoning/zoning-districts-guide/manufacturing-districts,M1-6D has limited residential allowances; do not use as ordinary residential FAR without case review.
M2-1,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,2.00,2.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no residential FAR.
M2-2,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,5.00,5.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no residential FAR.
M2-3,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,2.00,2.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no residential FAR.
M2-4,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,5.00,5.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no residential FAR.
M3-1,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,2.00,2.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no residential FAR.
M3-2,manufacturing,FALSE,TRUE,TRUE,FALSE,FALSE,,0.00,,,,,,5.00,https://www.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/manufacturing_zoning_data_tables.pdf,DCP Manufacturing Districts zoning data table; no residential FAR.
