query_year,matter_id,matter_file,disposition_group,review_difficulty,application_keys,title_bbls,title_address_candidate,title,chatgpt_plain_text_prompt
2009,558010,Res 2295-2009,disapproved,document_lookup_review,090236MMX,,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 090236 MMX, an amendment to the City Map (L.U. No. 1256).","Matter: Res 2295-2009 (2009)
Disposition: disapproved / Overridden by Council
Application keys: 090236MMX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 090236 MMX, an amendment to the City Map (L.U. No. 1256).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2009,558011,Res 2296-2009,disapproved,document_lookup_review,090237MMX,,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 090237 MMX, an amendment to the City Map (L.U. No. 1257).","Matter: Res 2296-2009 (2009)
Disposition: disapproved / Overridden by Council
Application keys: 090237MMX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 090237 MMX, an amendment to the City Map (L.U. No. 1257).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2009,558012,Res 2297-2009,disapproved,document_lookup_review,090437ZMX,,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 090437 ZMX, a Zoning Map amendment (L.U. No. 1258).","Matter: Res 2297-2009 (2009)
Disposition: disapproved / Overridden by Council
Application keys: 090437ZMX
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 090437 ZMX, a Zoning Map amendment (L.U. No. 1258).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2010,785058,Res 0517-2010,filed_withdrawal_or_motion,medium_address_or_range_review,20095547TCM,,490-494 LaGuardia Place,"Resolution approving a motion the file pursuant to withdrawal of the petition for a revocable consent for an enclosed sidewalk café located at 490-494 LaGuardia Place, Borough of Manhattan (20095547 TCM; L.U. No. 237).","Matter: Res 0517-2010 (2010)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20095547TCM
Parsed title BBLs: none parsed
Parsed title address: 490-494 LaGuardia Place
Full title: Resolution approving a motion the file pursuant to withdrawal of the petition for a revocable consent for an enclosed sidewalk café located at 490-494 LaGuardia Place, Borough of Manhattan (20095547 TCM; L.U. No. 237).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2011,921910,Res 0949-2011,filed_by_council_other,document_lookup_review,20115507SCQ,,,"Resolution approving the site plan for a new, approximately 416-Seat Primary School Facility and Schoolyard (P.S. 316, Queens) to be located generally at the northeast and northwest corners of 90th Street and 101st Avenue, Ozone Park (Tax Block 9064, Tax Lots 31 and 35; Tax Block 9063, Tax Lot 27), Borough of Queens (Non-ULURP No. 20115507 SCQ; L.U. No. 425).","Matter: Res 0949-2011 (2011)
Disposition: filed_by_council_other / Filed by Council
Application keys: 20115507SCQ
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving the site plan for a new, approximately 416-Seat Primary School Facility and Schoolyard (P.S. 316, Queens) to be located generally at the northeast and northwest corners of 90th Street and 101st Avenue, Ozone Park (Tax Block 9064, Tax Lots 31 and 35; Tax Block 9063, Tax Lot 27), Borough of Queens (Non-ULURP No. 20115507 SCQ; L.U. No. 425).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2012,1050074,Res 1238-2012,filed_withdrawal_or_motion,medium_address_or_range_review,20125008TCK,,68 Bergen Street,"Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 68 Bergen Street, Borough of Brooklyn (20125008 TCK; L.U. No. 557).","Matter: Res 1238-2012 (2012)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20125008TCK
Parsed title BBLs: none parsed
Parsed title address: 68 Bergen Street
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 68 Bergen Street, Borough of Brooklyn (20125008 TCK; L.U. No. 557).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2012,1080532,Res 1250-2012,filed_withdrawal_or_motion,medium_address_or_range_review,20125204TCM,,62 Spring Street,"Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 62 Spring Street, Borough of Manhattan (20125204 TCM; L.U. No. 568).","Matter: Res 1250-2012 (2012)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20125204TCM
Parsed title BBLs: none parsed
Parsed title address: 62 Spring Street
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 62 Spring Street, Borough of Manhattan (20125204 TCM; L.U. No. 568).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2012,1101748,Res 1281-2012,filed_withdrawal_or_motion,medium_address_or_range_review,20125298TCM,,127 Mulberry Street,"Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 127 Mulberry Street, Borough of Manhattan (20125298 TCM; L.U. No. 578).","Matter: Res 1281-2012 (2012)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20125298TCM
Parsed title BBLs: none parsed
Parsed title address: 127 Mulberry Street
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 127 Mulberry Street, Borough of Manhattan (20125298 TCM; L.U. No. 578).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2012,1156088,Res 1448-2012,filed_withdrawal_or_motion,medium_address_or_range_review,20125206TCM,,130-138 Seventh Avenue South,"Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 130-138 Seventh Avenue South, Borough of Manhattan (20125206 TCM; L.U. No. 629).","Matter: Res 1448-2012 (2012)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20125206TCM
Parsed title BBLs: none parsed
Parsed title address: 130-138 Seventh Avenue South
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 130-138 Seventh Avenue South, Borough of Manhattan (20125206 TCM; L.U. No. 629).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2012,1201677,Res 1524-2012,filed_withdrawal_or_motion,medium_address_or_range_review,20125783TCM,,131 Seventh Avenue South,"Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 131 Seventh Avenue South, Borough of Manhattan (20125783 TCM; L.U. No. 685).","Matter: Res 1524-2012 (2012)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20125783TCM
Parsed title BBLs: none parsed
Parsed title address: 131 Seventh Avenue South
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 131 Seventh Avenue South, Borough of Manhattan (20125783 TCM; L.U. No. 685).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2013,1322668,Res 1704-2013,filed_withdrawal_or_motion,medium_address_or_range_review,20135381TCM,,140 Seventh Avenue South,"Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an enclosed sidewalk café located at 140 Seventh Avenue South, Borough of Manhattan (20135381 TCM; L.U. No. 780).","Matter: Res 1704-2013 (2013)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20135381TCM
Parsed title BBLs: none parsed
Parsed title address: 140 Seventh Avenue South
Full title: Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an enclosed sidewalk café located at 140 Seventh Avenue South, Borough of Manhattan (20135381 TCM; L.U. No. 780).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2013,1444089,Res 1820-2013,filed_withdrawal_or_motion,medium_address_or_range_review,20135408TCM,,46 Gansevoort Street,"Resolution approving a motion to file L.U. 828 concerning an application for a revocable consent for an unenclosed sidewalk café located at 46 Gansevoort Street, Borough of Manhattan (20135408 TCM; L.U. No. 828).","Matter: Res 1820-2013 (2013)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20135408TCM
Parsed title BBLs: none parsed
Parsed title address: 46 Gansevoort Street
Full title: Resolution approving a motion to file L.U. 828 concerning an application for a revocable consent for an unenclosed sidewalk café located at 46 Gansevoort Street, Borough of Manhattan (20135408 TCM; L.U. No. 828).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2013,1448014,Res 1844-2013,filed_withdrawal_or_motion,document_lookup_review,20135759PNM,,,"Resolution approving motion to file pursuant to withdrawal of a Maritime Lease Agreement for certain City-owned berth areas and other improvements located along the East River Waterfront Esplanade on Pier 15 (Block 73, part of Lot 2), Borough of Manhattan (20135759 PNM; L.U. No. 851).","Matter: Res 1844-2013 (2013)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20135759PNM
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving motion to file pursuant to withdrawal of a Maritime Lease Agreement for certain City-owned berth areas and other improvements located along the East River Waterfront Esplanade on Pier 15 (Block 73, part of Lot 2), Borough of Manhattan (20135759 PNM; L.U. No. 851).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2013,1458865,Res 1877-2013,filed_withdrawal_or_motion,medium_address_or_range_review,20135587TCM,,183 West 10th Street,"Resolution approving a motion to file L.U. 858 concerning an application for a revocable consent for an unenclosed sidewalk café located at 183 West 10th Street, Borough of Manhattan (20135587 TCM; L.U. No. 858).","Matter: Res 1877-2013 (2013)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20135587TCM
Parsed title BBLs: none parsed
Parsed title address: 183 West 10th Street
Full title: Resolution approving a motion to file L.U. 858 concerning an application for a revocable consent for an unenclosed sidewalk café located at 183 West 10th Street, Borough of Manhattan (20135587 TCM; L.U. No. 858).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2013,1480959,Res 1944-2013,filed_withdrawal_or_motion,medium_address_or_range_review,20135625TCM,,2847 Broadway,"Resolution approving a motion to file L.U. 901 concerning an application for a revocable consent for an unenclosed sidewalk café located at 2847 Broadway, Borough of Manhattan (20135625 TCM; L.U. No. 901).","Matter: Res 1944-2013 (2013)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20135625TCM
Parsed title BBLs: none parsed
Parsed title address: 2847 Broadway
Full title: Resolution approving a motion to file L.U. 901 concerning an application for a revocable consent for an unenclosed sidewalk café located at 2847 Broadway, Borough of Manhattan (20135625 TCM; L.U. No. 901).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2013,1500399,Res 2018-2013,filed_withdrawal_or_motion,medium_address_or_range_review,20145048TCM,,522 Hudson Street,"Resolution approving a motion to file L.U. 944 concerning an application for a revocable consent for an unenclosed sidewalk café located at 522 Hudson Street, Borough of Manhattan (20145048 TCM; L.U. No. 944).","Matter: Res 2018-2013 (2013)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20145048TCM
Parsed title BBLs: none parsed
Parsed title address: 522 Hudson Street
Full title: Resolution approving a motion to file L.U. 944 concerning an application for a revocable consent for an unenclosed sidewalk café located at 522 Hudson Street, Borough of Manhattan (20145048 TCM; L.U. No. 944).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2013,1519569,Res 2031-2013,filed_withdrawal_or_motion,document_lookup_review,130247AZRM,,,"Resolution approving a motion to file pursuant to withdrawal of the application of the New City Department of City Planning, Application No. N 130247 (A) ZRM, for an amendment of the Zoning Resolution of the City of New York, concerning Article VIII, Chapter 1 (Special Midtown District), Community Districts 5 and 6, Borough of Manhattan (L.U. No. 945).","Matter: Res 2031-2013 (2013)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 130247AZRM
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the application of the New City Department of City Planning, Application No. N 130247 (A) ZRM, for an amendment of the Zoning Resolution of the City of New York, concerning Article VIII, Chapter 1 (Special Midtown District), Community Districts 5 and 6, Borough of Manhattan (L.U. No. 945).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2013,1519570,Res 2032-2013,filed_withdrawal_or_motion,document_lookup_review,130248ZMM,,,"Resolution approving a motion to file pursuant to withdrawal of the application of the New York City Department of City Planning, ULURP No. C 130248 ZMM, a Zoning Map amendment (L.U. No. 946).","Matter: Res 2032-2013 (2013)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 130248ZMM
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the application of the New York City Department of City Planning, ULURP No. C 130248 ZMM, a Zoning Map amendment (L.U. No. 946).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2014,1661910,Res 0097-2014,filed_withdrawal_or_motion,document_lookup_review,070194ZMQ,,,"Resolution approving a motion to file pursuant to withdrawal of the decision of the City Planning Commission on ULURP Application No. C 070194 ZMQ, a Zoning Map amendment (L.U. No. 12).","Matter: Res 0097-2014 (2014)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 070194ZMQ
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the decision of the City Planning Commission on ULURP Application No. C 070194 ZMQ, a Zoning Map amendment (L.U. No. 12).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2014,1661911,Res 0098-2014,filed_withdrawal_or_motion,document_lookup_review,090033MMQ,,,"Resolution approving a motion to file pursuant to withdrawal of the decision of the City Planning Commission on ULURP Application No. C 090033 MMQ, an amendment to the City Map (L.U. No. 13).","Matter: Res 0098-2014 (2014)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 090033MMQ
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the decision of the City Planning Commission on ULURP Application No. C 090033 MMQ, an amendment to the City Map (L.U. No. 13).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2014,1685512,Res 0156-2014,disapproved,medium_address_or_range_review,20145354TCQ,,22-30 154th Street,"Resolution disapproving the petition for a revocable consent for an enclosed sidewalk café located at 22-30 154th Street, Borough of Queens (20145354 TCQ; L.U. No. 22).","Matter: Res 0156-2014 (2014)
Disposition: disapproved / Disapproved by Council
Application keys: 20145354TCQ
Parsed title BBLs: none parsed
Parsed title address: 22-30 154th Street
Full title: Resolution disapproving the petition for a revocable consent for an enclosed sidewalk café located at 22-30 154th Street, Borough of Queens (20145354 TCQ; L.U. No. 22).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2015,2230067,Res 0604-2015,filed_withdrawal_or_motion,document_lookup_review,140353ZSM,,,"Resolution approving a motion to file pursuant to withdrawal of the application by the Applicant regarding the decision of the City Planning Commission on ULURP No. C 140353 ZSM (L.U. No. 173), for the grant of a special permit pursuant to Section 74-711 of the Zoning Resolution to modify Section 43-17 - to allow the enlargement of an existing 3-story building containing joint living-work quarters for artists (JLWQA) and Section 42-10 - to allow residential use (U.G. 2 use) on portions of the ground floor, 2nd - 3rd floors and within the proposed 4th - 5th floors and duplex penthouse levels on","Matter: Res 0604-2015 (2015)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 140353ZSM
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the application by the Applicant regarding the decision of the City Planning Commission on ULURP No. C 140353 ZSM (L.U. No. 173), for the grant of a special permit pursuant to Section 74-711 of the Zoning Resolution to modify Section 43-17 - to allow the enlargement of an existing 3-story building containing joint living-work quarters for artists (JLWQA) and Section 42-10 - to allow residential use (U.G. 2 use) on portions of the ground floor, 2nd - 3rd floors and within the proposed 4th - 5th floors and duplex penthouse levels on
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2015,2482525,Res 0882-2015,filed_withdrawal_or_motion,medium_address_or_range_review,20155746TCM,,221 West Broadway a.k.a. 5 White Street,"Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 221 West Broadway a.k.a. 5 White Street, Borough of Manhattan (20155746 TCM; L.U. No. 274).","Matter: Res 0882-2015 (2015)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20155746TCM
Parsed title BBLs: none parsed
Parsed title address: 221 West Broadway a.k.a. 5 White Street
Full title: Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 221 West Broadway a.k.a. 5 White Street, Borough of Manhattan (20155746 TCM; L.U. No. 274).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2016,2549883,Res 0959-2016,filed_withdrawal_or_motion,medium_address_or_range_review,20165077TCM,,270 6th Avenue,"Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 270 6th Avenue, Borough of Manhattan (20165077 TCM; L.U. No. 299).","Matter: Res 0959-2016 (2016)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20165077TCM
Parsed title BBLs: none parsed
Parsed title address: 270 6th Avenue
Full title: Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 270 6th Avenue, Borough of Manhattan (20165077 TCM; L.U. No. 299).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2016,2558987,Res 0986-2016,filed_withdrawal_or_motion,medium_address_or_range_review,20165210TCM,,33 Avenue B,"Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 33 Avenue B, Borough of Manhattan (20165210 TCM; L.U. No. 320).","Matter: Res 0986-2016 (2016)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20165210TCM
Parsed title BBLs: none parsed
Parsed title address: 33 Avenue B
Full title: Resolution approving a motion to file pursuant to withdrawal of the petition for a revocable consent for an unenclosed sidewalk café located at 33 Avenue B, Borough of Manhattan (20165210 TCM; L.U. No. 320).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2016,2593596,Res 1005-2016,filed_withdrawal_or_motion,medium_address_or_range_review,20165174TCM,,210 East 3rd Street,"Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 210 East 3rd Street, Borough of Manhattan (20165174 TCM; L.U. No. 332).","Matter: Res 1005-2016 (2016)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20165174TCM
Parsed title BBLs: none parsed
Parsed title address: 210 East 3rd Street
Full title: Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 210 East 3rd Street, Borough of Manhattan (20165174 TCM; L.U. No. 332).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2016,2808436,Res 1189-2016,filed_withdrawal_or_motion,medium_address_or_range_review,20165568TCK,,261 Metropolitan Avenue,"Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 261 Metropolitan Avenue, Borough of Brooklyn (20165568 TCK; L.U. No. 425).","Matter: Res 1189-2016 (2016)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20165568TCK
Parsed title BBLs: none parsed
Parsed title address: 261 Metropolitan Avenue
Full title: Resolution approving a motion to file pursuant to withdrawal of the application for a revocable consent for an unenclosed sidewalk café located at 261 Metropolitan Avenue, Borough of Brooklyn (20165568 TCK; L.U. No. 425).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2016,2829973,Res 1199-2016,filed_withdrawal_or_motion,document_lookup_review,160137ZMM,,,"Resolution approving a motion to file pursuant to withdrawal of the application by the Applicant regarding the decision of the City Planning Commission on ULURP No. C 160137 ZMM, a Zoning Map amendment (L.U. No. 432).","Matter: Res 1199-2016 (2016)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 160137ZMM
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the application by the Applicant regarding the decision of the City Planning Commission on ULURP No. C 160137 ZMM, a Zoning Map amendment (L.U. No. 432).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2016,2908356,Res 1340-2016,disapproved,document_lookup_review,150360ZMK,,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 150360 ZMK, a Zoning Map amendment (L.U. No. 531).","Matter: Res 1340-2016 (2016)
Disposition: disapproved / Disapproved by Council
Application keys: 150360ZMK
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 150360 ZMK, a Zoning Map amendment (L.U. No. 531).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2016,2908357,Res 1341-2016,disapproved,document_lookup_review,160379ZRK,,,"Resolution disapproving the decision of the City Planning Commission on Application No. N 160379 ZRK, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F (Inclusionary Housing Designated Areas) for the purpose of establishing a Mandatory Inclusionary Housing area in Community District 6, Borough of Brooklyn (L.U. No. 532).","Matter: Res 1341-2016 (2016)
Disposition: disapproved / Disapproved by Council
Application keys: 160379ZRK
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on Application No. N 160379 ZRK, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F (Inclusionary Housing Designated Areas) for the purpose of establishing a Mandatory Inclusionary Housing area in Community District 6, Borough of Brooklyn (L.U. No. 532).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2017,2971438,Res 1396-2017,filed_withdrawal_or_motion,document_lookup_review,160254AZRM,,,"Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application No. N 160254 (A) ZRM, for an amendment of the Zoning Resolution of the City of New York, concerning Article VIII, Chapter 1 (Special Midtown District), to modify the regulations governing the transfer of development rights from listed theaters in Community Districts 4 and 5, Borough of Manhattan (L.U. No. 545).","Matter: Res 1396-2017 (2017)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 160254AZRM
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application No. N 160254 (A) ZRM, for an amendment of the Zoning Resolution of the City of New York, concerning Article VIII, Chapter 1 (Special Midtown District), to modify the regulations governing the transfer of development rights from listed theaters in Community Districts 4 and 5, Borough of Manhattan (L.U. No. 545).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2017,3054158,Res 1491-2017,filed_withdrawal_or_motion,medium_address_or_range_review,20175260TCM,,151 Elizabeth Street,"Resolution approving a motion to file pursuant to withdrawal of the Application for a new revocable consent for a small unenclosed sidewalk café located at 151 Elizabeth Street, Borough of Manhattan (20175260 TCM; L.U. No. 607).","Matter: Res 1491-2017 (2017)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 20175260TCM
Parsed title BBLs: none parsed
Parsed title address: 151 Elizabeth Street
Full title: Resolution approving a motion to file pursuant to withdrawal of the Application for a new revocable consent for a small unenclosed sidewalk café located at 151 Elizabeth Street, Borough of Manhattan (20175260 TCM; L.U. No. 607).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2017,3065945,Res 1543-2017,filed_withdrawal_or_motion,document_lookup_review,150235ZMK,,,"Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application ULURP No. C 150235 ZMK, a Zoning Map amendment (L.U. No. 643).","Matter: Res 1543-2017 (2017)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 150235ZMK
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application ULURP No. C 150235 ZMK, a Zoning Map amendment (L.U. No. 643).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2017,3065946,Res 1544-2017,filed_withdrawal_or_motion,document_lookup_review,150234ZRK,,,"Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application No. N 150234 ZRK, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area, in Community District 2, Borough of Brooklyn (L.U. No. 644).","Matter: Res 1544-2017 (2017)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 150234ZRK
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application No. N 150234 ZRK, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area, in Community District 2, Borough of Brooklyn (L.U. No. 644).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
